School,Class,Position(s),Height,Height (dec),Weight,Tankathon Rank,Age,Wingspan,Wingspan (dec),G,MP,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,REB,AST,BLK,STL,TO,PF,PTS,G per 36,MP per 36,FGA per 36,FG% per 36,3PA per 36,3P% per 36,FTA per 36,FT% per 36,REB per 36,AST per 36,BLK per 36,STL per 36,TO per 36,PF per 36,PTS per 36,True Shooting %TS%,Effective FG%EFG%,3PA Rate3PAR,FTA RateFTAR,Proj NBA 3P%NBA 3P%,USG%,AST/USG,AST/TO,PER,OWS/40,DWS/40,WS/40,ORTG,DRTG,OBPM,DBPM,BPM,Name
Rutgers,Freshman,"['PG', 'SG']","6'6""",6.5,220,2,19.3,,,18.0,32.4,7.5,13.9,0.488,1.9,5.1,0.341,4.5,5.7,0.716,5.1,4.3,0.6,1.1,2.3,1.7,19.3,18.0,36.0,15.4,0.488,5.6,0.341,6.3,0.716,5.7,4.8,0.6,1.2,2.5,1.9,21.5,0.583,0.55,0.364,0.408,0.353,28.8,0.98,1.88,24.4,0.13,0.048,0.178,,,7.1,1.5,8.6,Dylan Harper
Gonzaga,Senior,['PF'],"6'7""",6.58,228,21,21.99,,,19.0,18.9,3.9,5.2,0.394,0.5,1.5,0.172,2.8,1.9,0.778,4.7,0.9,0.4,0.8,0.9,1.9,5.8,19.0,36.0,9.9,0.394,2.9,0.172,3.6,0.778,9.0,1.8,0.8,1.6,1.8,3.6,11.1,0.478,0.419,0.293,0.364,0.331,17.9,0.41,1.0,13.8,0.044,0.078,0.133,,,0.2,2.9,3.1,Michael Ajayi
Texas Tech,Junior,['SF'],"6'6""",6.5,225,35,22.16,,,18.0,29.2,6.6,11.7,0.462,1.4,3.3,0.333,3.8,3.7,0.836,5.6,4.6,0.4,1.1,2.2,2.3,15.0,18.0,36.0,14.4,0.462,4.1,0.333,4.6,0.836,6.9,5.6,0.5,1.4,2.7,2.8,18.5,0.558,0.51,0.286,0.319,0.36,27.1,1.02,2.05,22.9,0.137,0.084,0.228,,,6.1,3.6,9.7,Darrion Williams
BYU,Freshman,['SG'],"6'9""",6.75,190,10,19.3,,,15.0,29.0,4.8,9.1,0.423,1.5,4.4,0.273,2.2,2.7,0.634,4.2,5.8,0.7,1.6,2.6,1.3,10.7,15.0,36.0,11.3,0.423,5.5,0.273,3.4,0.634,5.2,7.2,0.8,2.0,3.2,1.7,13.2,0.511,0.489,0.482,0.299,0.333,22.5,1.53,2.23,17.7,0.064,0.092,0.156,,,3.0,3.5,6.6,Egor Demin
Ratiopharm Ulm,International,['SG'],"6'5""",6.42,200,15,19.18,,,28.0,23.7,7.4,10.5,0.463,1.0,2.5,0.254,3.3,3.0,0.735,3.1,4.3,0.3,1.1,2.6,2.3,12.5,28.0,36.0,15.9,0.463,3.8,0.254,4.5,0.735,4.7,6.6,0.4,1.7,4.0,3.5,19.0,0.526,0.493,0.241,0.282,0.336,27.7,1.19,1.64,17.2,,,,106.7,108.7,,,,Ben Saraf
Brisbane (NBL),International,['C'],"7'3""",7.25,227,33,18.95,,,20.0,12.2,5.3,3.6,0.5,0.1,0.3,0.2,3.0,1.6,0.625,3.5,0.3,0.7,0.3,0.6,1.3,4.7,20.0,36.0,10.7,0.5,0.7,0.2,4.7,0.625,10.4,0.9,2.1,0.9,1.8,3.9,13.8,0.533,0.507,0.069,0.444,0.309,17.1,0.2,0.5,16.0,,,,114.7,114.7,,,,Rocco Zikarsky
Baylor,Freshman,['SG'],"6'5""",6.42,180,5,19.89,,,16.0,30.1,5.5,11.3,0.411,1.6,4.3,0.319,2.6,2.9,0.745,5.6,3.2,0.8,2.4,1.9,2.4,12.8,16.0,36.0,13.4,0.411,5.2,0.319,3.5,0.745,6.7,3.8,1.0,2.9,2.3,2.8,15.3,0.507,0.472,0.383,0.261,0.352,23.8,0.77,1.65,20.5,0.075,0.1,0.174,,,4.8,4.9,9.7,V.J. Edgecombe
Florida State,Senior,"['SG', 'SF']","6'7""",6.58,210,23,23.96,,,18.0,28.6,6.5,11.8,0.439,2.2,5.1,0.348,8.1,8.5,0.758,4.7,2.2,0.7,1.4,2.7,3.0,18.6,18.0,36.0,14.8,0.439,6.4,0.348,10.7,0.758,5.9,2.7,0.8,1.8,3.4,3.8,23.4,0.587,0.514,0.434,0.722,0.364,31.8,0.48,0.81,22.5,0.109,0.086,0.195,,,5.2,2.0,7.1,Jamir Watkins
Oklahoma,Freshman,['PG'],"6'4""",6.33,182,12,18.68,,,18.0,29.0,6.7,11.6,0.466,1.2,3.8,0.265,6.2,6.0,0.833,4.0,4.4,0.1,1.9,3.7,1.7,16.8,18.0,36.0,14.3,0.466,4.7,0.265,7.4,0.833,5.0,5.4,0.1,2.4,4.6,2.1,20.8,0.582,0.51,0.327,0.519,0.355,31.8,0.94,1.18,22.2,0.092,0.069,0.169,,,3.9,1.6,5.5,Jeremiah Fears
South Carolina,Sophomore,['PF'],"6'7""",6.58,231,14,20.03,,,18.0,29.7,7.0,9.7,0.598,0.3,0.8,0.267,4.4,5.3,0.677,9.2,2.0,1.2,1.6,2.9,2.7,15.4,18.0,36.0,11.7,0.598,1.0,0.267,6.5,0.677,11.1,2.4,1.4,1.9,3.5,3.2,18.6,0.631,0.609,0.086,0.552,0.319,26.1,0.65,0.69,25.6,0.097,0.097,0.194,,,4.2,4.8,9.0,Collin Murray-Boyles
North Carolina,Freshman,['SG'],"6'4""",6.33,180,26,20.35,,,19.0,26.9,7.0,10.8,0.483,2.4,4.8,0.374,3.4,3.3,0.762,3.6,0.9,0.2,0.6,1.2,1.7,14.7,19.0,36.0,14.4,0.483,6.4,0.374,4.4,0.762,4.9,1.3,0.3,0.8,1.5,2.3,19.7,0.596,0.566,0.444,0.307,0.368,24.3,0.28,0.82,18.3,0.094,0.047,0.149,,,5.2,1.9,7.1,Ian Jackson
Duke,Freshman,"['SF', 'PF']","6'9""",6.75,205,1,18.5,,,18.0,31.1,7.5,13.3,0.488,1.5,3.7,0.348,5.7,6.1,0.809,8.1,4.1,1.2,1.6,2.6,2.3,19.2,18.0,36.0,15.4,0.488,4.2,0.348,7.1,0.809,9.3,4.7,1.4,1.8,3.0,2.6,22.2,0.592,0.535,0.275,0.458,0.358,31.2,0.83,1.59,29.2,0.164,0.136,0.3,,,8.2,7.6,15.7,Cooper Flagg
Iowa,Senior,['SF'],"6'7.5""",6.62,212,22,22.94,"6'8""",6.67,19.0,29.7,6.4,13.0,0.409,3.1,7.4,0.343,4.0,3.8,0.875,5.7,3.0,0.7,0.9,2.0,2.5,16.5,19.0,36.0,15.7,0.409,8.9,0.343,4.6,0.875,6.9,3.6,0.8,1.1,2.4,3.1,19.9,0.557,0.506,0.567,0.291,0.394,27.5,0.59,1.5,19.3,0.092,0.05,0.142,,,4.3,0.1,4.4,Payton Sandfort
Michigan State,Freshman,"['SG', 'PG']","6'3""",6.25,185,25,18.68,,,17.0,21.8,5.5,5.9,0.564,1.4,2.0,0.412,2.8,2.1,0.829,2.5,1.8,0.3,0.9,1.0,1.7,9.2,17.0,36.0,9.8,0.564,3.3,0.412,3.4,0.829,4.2,3.0,0.5,1.5,1.7,2.8,15.3,0.667,0.634,0.337,0.347,0.361,17.6,0.86,1.82,18.5,0.108,0.086,0.195,,,4.0,4.8,8.7,Jase Richardson
West Virginia,Senior,"['SG', 'SF']","6'7""",6.58,220,22,22.53,,,8.0,34.5,4.6,10.6,0.412,3.4,6.9,0.473,3.0,3.5,0.821,4.9,2.8,1.5,1.8,1.9,2.9,14.9,8.0,36.0,11.1,0.412,7.2,0.473,3.7,0.821,5.1,2.9,1.6,1.8,2.0,3.0,15.5,0.605,0.565,0.647,0.329,0.394,21.8,0.76,1.47,20.0,0.087,0.101,0.188,,,5.4,4.7,10.1,Tucker DeVries
Alabama,Freshman,['SF'],"6'7""",6.58,200,18,18.98,,,15.0,17.5,5.9,6.3,0.457,1.2,2.1,0.281,3.6,3.3,0.531,3.4,0.9,0.3,0.3,1.0,1.7,8.1,15.0,36.0,12.9,0.457,4.4,0.281,6.7,0.531,7.0,1.9,0.7,0.7,2.1,3.6,16.6,0.516,0.505,0.34,0.521,0.314,22.4,0.4,0.93,14.4,0.061,0.046,0.106,,,2.1,1.7,3.8,Derrion Reid
KK Cedevita Junior (Croatia),International,['C'],"6'10""",6.83,230,51,18.61,,,31.0,15.9,3.4,2.6,0.561,0.0,0.0,,1.7,1.2,0.622,4.1,0.3,1.0,0.4,0.4,2.0,3.7,31.0,36.0,6.0,0.561,0.0,,2.7,0.622,9.3,0.7,2.3,0.9,0.9,4.6,8.4,0.577,0.561,0.0,0.451,0.306,10.7,0.26,0.69,13.9,,,,123.2,106.8,,,,Joan Beringer
Auburn,Senior,"['PF', 'C']","6'10""",6.83,240,30,22.92,,,16.0,27.5,9.5,13.3,0.547,1.0,2.6,0.286,3.4,4.3,0.618,10.7,3.3,2.7,0.8,1.1,2.1,17.9,16.0,36.0,17.3,0.547,3.4,0.286,5.6,0.618,14.0,4.3,3.5,1.1,1.5,2.7,23.4,0.585,0.575,0.198,0.321,0.322,29.9,0.78,2.89,36.3,0.209,0.118,0.327,,,11.5,5.8,17.3,Johni Broome
Alabama,Senior,['PG'],"6'1""",6.08,190,23,23.33,,,19.0,32.7,5.6,12.6,0.404,2.7,7.0,0.353,6.9,7.6,0.828,2.9,4.9,0.1,1.1,2.3,1.4,19.0,19.0,36.0,13.9,0.404,7.7,0.353,8.4,0.828,3.2,5.4,0.1,1.2,2.5,1.6,20.9,0.584,0.502,0.554,0.604,0.382,25.2,0.99,2.19,20.4,0.148,0.045,0.193,,,6.8,2.0,8.8,Mark Sears
Arizona,Sophomore,['C'],"7'2""",7.17,260,20,20.55,,,8.0,15.6,6.0,4.8,0.553,0.0,0.0,,6.0,3.8,0.7,4.5,1.1,0.8,0.4,0.8,2.0,7.9,8.0,36.0,10.9,0.553,0.0,,8.6,0.7,10.4,2.6,1.7,0.9,1.7,4.6,18.1,0.603,0.553,0.0,0.789,0.317,22.5,0.57,1.5,25.1,0.16,0.096,0.256,,,5.1,3.4,8.5,Motiejus Krivas
UConn,Freshman,['SF'],"6'8""",6.67,185,17,19.69,,,14.0,30.4,4.8,9.5,0.429,2.1,4.7,0.379,4.3,4.3,0.85,5.8,2.6,0.4,0.4,1.4,1.8,13.6,14.0,36.0,11.2,0.429,5.6,0.379,5.1,0.85,6.8,3.0,0.4,0.5,1.6,2.1,16.1,0.588,0.523,0.496,0.451,0.375,22.4,0.66,1.89,19.0,0.122,0.056,0.169,,,4.2,0.4,4.7,Liam McNeeley
Duke,Freshman,['C'],"7'2""",7.17,250,7,18.76,,,18.0,19.9,6.3,4.4,0.788,0.1,0.3,0.167,3.4,2.4,0.773,6.3,0.3,1.1,0.2,0.7,2.1,8.9,18.0,36.0,8.0,0.788,0.6,0.167,4.4,0.773,11.4,0.6,1.9,0.3,1.3,3.7,16.2,0.798,0.794,0.075,0.55,0.329,16.4,0.19,0.46,27.2,0.179,0.112,0.302,,,6.5,4.4,11.0,Khaman Maluach
UCLA,Senior,['SG'],"6'6""",6.5,200,22,22.43,,,19.0,28.2,3.4,5.9,0.446,1.3,2.9,0.339,2.0,2.3,0.682,5.7,3.2,0.2,1.8,1.6,2.6,7.8,19.0,36.0,7.5,0.446,3.8,0.339,3.0,0.682,7.3,4.0,0.2,2.4,2.0,3.4,10.0,0.561,0.531,0.5,0.393,0.337,15.3,1.24,2.0,16.6,0.067,0.105,0.172,,,3.4,5.1,8.5,Kobe Johnson
Valencia (Spain),International,"['PG', 'SG']","6'6""",6.5,198,24,19.54,,,22.0,12.3,5.6,3.8,0.506,2.3,1.7,0.459,3.6,1.6,0.771,2.2,2.9,0.2,0.5,1.6,1.7,5.8,22.0,36.0,11.0,0.506,4.9,0.459,4.6,0.771,6.5,8.4,0.7,1.3,4.6,5.0,17.0,0.642,0.608,0.446,0.422,0.37,21.2,1.55,1.8,18.7,,,,122.4,112.1,,,,Sergio de Larrea
Pittsburgh,Sophomore,"['PG', 'SG']","6'3""",6.25,173,60,20.79,,,18.0,35.4,5.5,14.2,0.383,1.5,5.2,0.28,5.1,5.5,0.909,4.4,5.7,0.3,1.9,3.2,2.2,17.3,18.0,36.0,14.5,0.383,5.3,0.28,5.6,0.909,4.5,5.8,0.3,1.9,3.2,2.3,17.6,0.515,0.434,0.363,0.387,0.37,29.0,1.04,1.81,19.2,0.082,0.063,0.144,,,3.0,2.0,5.0,Jaland Lowe
Texas Tech,Sophomore,['PF'],"6'9""",6.75,225,42,20.02,,,14.0,24.4,10.1,12.4,0.555,0.5,1.1,0.312,4.1,4.1,0.684,9.1,0.9,1.3,0.9,1.7,2.3,16.9,14.0,36.0,18.2,0.555,1.7,0.312,6.0,0.684,13.4,1.3,1.9,1.3,2.5,3.4,24.8,0.59,0.569,0.092,0.329,0.324,33.1,0.23,0.5,32.2,0.152,0.105,0.269,,,7.0,2.3,9.3,JT Toppin
Sydney (NBL),International,['SF'],"6'8""",6.67,223,46,21.13,,,27.0,23.8,6.2,9.0,0.453,1.6,3.1,0.341,3.4,3.1,0.714,3.8,1.4,0.8,1.4,1.1,1.8,11.4,27.0,36.0,13.6,0.453,4.8,0.341,4.7,0.714,5.7,2.2,1.2,2.1,1.6,2.7,17.3,0.546,0.512,0.35,0.346,0.348,20.7,0.47,1.34,17.2,,,,113.4,107.6,,,,Alex Toohey
Illinois,Sophomore,['C'],"7'1""",7.08,255,54,21.75,,,18.0,26.6,6.8,9.9,0.503,2.1,4.4,0.354,2.0,1.9,0.765,8.5,2.0,1.2,0.7,1.2,2.4,13.0,18.0,36.0,13.5,0.503,5.9,0.354,2.6,0.765,11.5,2.7,1.6,1.0,1.7,3.3,17.6,0.6,0.581,0.441,0.19,0.363,20.8,0.67,1.64,23.1,0.126,0.117,0.243,,,6.5,5.6,12.1,Tomislav Ivisic
Michigan,Junior,['C'],"7'0""",7.0,250,28,21.13,,,18.0,28.7,6.0,8.6,0.555,1.3,2.8,0.373,2.4,3.2,0.596,10.2,3.9,1.4,0.9,3.8,1.9,12.5,18.0,36.0,10.8,0.555,3.6,0.373,4.0,0.596,12.8,5.0,1.8,1.2,4.7,2.4,15.7,0.618,0.616,0.329,0.368,0.328,23.6,1.03,1.04,21.4,0.07,0.116,0.186,,,4.5,5.6,10.1,Danny Wolf
Mexico City,G League,['SF'],"6'8""",6.67,210,40,19.28,,,16.0,20.5,6.8,8.8,0.44,2.5,3.6,0.404,1.8,1.4,0.727,3.9,1.5,0.1,0.9,2.2,2.1,10.7,16.0,36.0,15.5,0.44,6.3,0.404,2.4,0.727,6.8,2.6,0.2,1.6,3.8,3.6,18.8,0.565,0.521,0.404,0.156,0.366,25.9,0.51,0.69,12.3,-0.085,0.073,-0.012,,,,,,Dink Pate
Grand Canyon,Senior,"['SG', 'SF']","6'7""",6.58,220,25,25.29,,,16.0,27.4,5.4,11.9,0.346,1.0,3.9,0.19,6.4,7.1,0.69,6.5,1.9,1.5,1.9,2.6,1.9,13.9,16.0,36.0,15.7,0.346,5.2,0.19,9.3,0.69,8.5,2.5,2.0,2.5,3.4,2.5,18.2,0.454,0.377,0.33,0.592,0.33,30.5,0.46,0.74,16.9,0.0,0.118,0.118,,,-0.8,2.6,1.7,Tyon Grant-Foster
Ratiopharm Ulm (Germany),International,"['SF', 'PF']","6'9""",6.75,194,16,18.5,,,15.0,23.0,6.1,7.0,0.552,0.8,1.9,0.286,6.6,5.7,0.733,5.1,1.1,0.6,1.1,0.9,2.5,12.5,15.0,36.0,11.0,0.552,2.9,0.286,9.0,0.733,7.9,1.7,0.9,1.7,1.4,4.0,19.5,0.641,0.59,0.267,0.819,0.335,,,1.23,,,,,,,,,,Noa Essengue
Florida Atlantic,Junior,['SF'],"7'0""",7.0,216,21,21.36,"7'2""",7.17,19.0,29.8,5.2,8.5,0.503,1.3,3.1,0.345,1.7,2.2,0.634,7.1,2.6,1.8,0.8,2.1,2.7,10.9,19.0,36.0,10.2,0.503,3.7,0.345,2.6,0.634,8.6,3.1,2.2,1.0,2.5,3.2,13.2,0.576,0.565,0.36,0.255,0.331,18.8,0.81,1.22,17.3,0.057,0.064,0.12,,,2.3,2.1,4.4,Baba Miller
Texas,Freshman,['SG'],"6'6""",6.5,184,8,19.29,,,17.0,32.4,7.4,14.8,0.45,2.7,6.4,0.38,2.7,2.9,0.84,2.8,2.0,0.4,0.9,1.6,1.9,18.2,17.0,36.0,16.4,0.45,7.1,0.38,3.3,0.84,3.1,2.2,0.4,1.0,1.8,2.2,20.2,0.562,0.532,0.43,0.199,0.383,28.4,0.44,1.21,18.8,0.094,0.065,0.16,,,5.1,1.7,6.8,Tre Johnson
Qingdao (China),International,['C'],"7'1""",7.08,249,19,19.98,,,33.0,33.3,6.7,10.9,0.569,0.3,1.1,0.286,3.5,4.9,0.667,10.3,3.2,2.7,1.1,3.4,3.4,16.0,33.0,36.0,11.8,0.569,1.1,0.286,5.3,0.667,11.2,3.5,2.9,1.1,3.7,3.6,17.3,0.604,0.583,0.097,0.45,0.317,22.1,0.71,0.96,20.0,,,,111.9,103.7,,,,Hansen Yang
Georgia,Freshman,['PF'],"6'10""",6.83,205,11,19.71,,,18.0,27.9,7.9,10.7,0.57,0.9,2.1,0.316,3.1,3.4,0.71,6.8,1.1,1.1,1.1,1.0,2.2,15.3,18.0,36.0,13.8,0.57,2.7,0.316,4.4,0.71,8.8,1.4,1.4,1.4,1.3,2.8,19.8,0.62,0.601,0.197,0.321,0.333,23.4,0.35,1.06,27.6,0.167,0.087,0.262,,,8.0,2.9,10.9,Asa Newell
Arizona,Senior,['PG'],"6'4""",6.33,195,23,23.73,,,18.0,31.6,6.3,13.7,0.402,2.7,7.6,0.309,2.6,2.7,0.854,4.4,2.9,0.4,1.4,1.8,1.0,15.6,18.0,36.0,15.6,0.402,8.6,0.309,3.0,0.854,5.1,3.4,0.4,1.6,2.1,1.1,17.8,0.523,0.488,0.553,0.195,0.384,25.7,0.65,1.61,17.4,0.077,0.077,0.155,,,4.3,2.7,7.0,Caleb Love
Saint-Quentin (France),International,['PG'],"6'3""",6.25,175,9,19.06,,,24.0,22.4,6.3,10.8,0.363,2.1,4.6,0.282,3.8,3.3,0.712,2.0,4.9,0.0,0.7,2.3,2.0,11.5,24.0,36.0,17.3,0.363,7.4,0.282,5.4,0.712,3.1,7.8,0.1,1.1,3.6,3.2,18.5,0.465,0.423,0.425,0.309,0.354,31.1,1.43,2.17,14.3,,,,102.5,113.6,,,,Nolan Traore
